id;uuid;name;detail;created_date;updated_date
1;d1db3152-0753-4e8b-ac0f-fd340d7e764a;primary Tasty Grocery;Shoes;2022-03-08;2022-03-07
2;5093aa37-63e9-4877-8c62-b6d79e831786;Fantastic orchid transition;synthesizing Reduced;2022-03-07;2022-03-08
3;7452b6c8-c9a2-484e-a933-729ade17ec7c;Parkways Small;GB Accountability;2022-03-08;2022-03-08
4;3646a2bf-6739-4f10-b645-6d0ac15c7b81;reboot Technician SMS;connect Washington;2022-03-07;2022-03-07
5;1a7801ad-d9af-4e65-a100-4afef0b98165;Mobility violet unleash;yellow parse;2022-03-07;2022-03-07
6;cf4d0848-2fea-4b31-b821-c22648c9b248;Nevada EXE;indexing bypass;2022-03-07;2022-03-08
7;11a0016e-0c97-47d6-8716-9ec91c91277b;Fiji visionary Buckinghamshire;Horizontal Agent gold;2022-03-07;2022-03-07
8;54edc307-6fb6-467a-9e05-b8d1f50a7ef6;enable hacking;withdrawal;2022-03-07;2022-03-08
9;8708f4a7-c553-4cff-ae0b-073bd27820b7;Ball;Checking hierarchy;2022-03-08;2022-03-07
10;80028eda-8679-4136-ba08-33f85f675551;Corporate program;compressing;2022-03-07;2022-03-07
