id;uuid;created_date;updated_date;name;description;archieved
1;8b119cf4-e42b-449a-b4ac-dababcbe5331;2022-03-07;2022-03-08;payment;viral Palau markets;true
2;68816a50-31d9-4176-87e0-f3468b7729f7;2022-03-07;2022-03-08;Checking e-enable whiteboard;system-worthy Handmade;true
3;d147c8e0-fbcc-4e03-adf3-c59c1a0a46fe;2022-03-08;2022-03-08;platforms PCI;synergize;false
4;3ffe552a-ec47-44e2-932e-4c099596c2a1;2022-03-07;2022-03-07;vortals mindshare;Small initiatives;true
5;5ccd7fa1-229b-47cd-b9a1-12e546273917;2022-03-07;2022-03-07;Seychelles partnerships;Lesotho Peru Checking;true
6;2fdb859f-37e3-4b3a-b509-492db08680e5;2022-03-07;2022-03-07;Salad transform;web-readiness lavender;false
7;d1cca91e-8dfa-43d5-87bc-1b53b16feaf0;2022-03-08;2022-03-08;GB bluetooth;Account;false
8;e9916a74-4959-4f6c-9222-76094a81faee;2022-03-08;2022-03-07;Brooks;Islands withdrawal;true
9;fa1262dd-0a52-4501-a078-075d29ca7aeb;2022-03-08;2022-03-07;magenta Monitored;proactive Chair;false
10;84c93bcf-8703-4615-8c82-24452dba43fc;2022-03-07;2022-03-07;Colorado;synergize Unbranded engage;false
